iter	MultiClass
0	1.044639556
1	0.9977828145
2	0.9565796552
3	0.9194638844
4	0.8864685675
5	0.8565986357
6	0.8293063023
7	0.8047534661
8	0.7824194473
9	0.7617036817
10	0.7428225801
11	0.7255394555
12	0.7096854194
13	0.6951122955
14	0.6814093021
15	0.6687631787
16	0.6568747597
17	0.6459740328
18	0.635765791
19	0.6262732433
20	0.617411395
21	0.6092303399
22	0.6015024339
23	0.5943038249
24	0.5876404551
25	0.5811156873
26	0.5751591651
27	0.5695420064
28	0.5643712228
29	0.5595205989
30	0.5548488683
31	0.5504969525
32	0.5461325158
33	0.5420277055
34	0.5380997401
35	0.5346887386
36	0.5312478597
37	0.5280656552
38	0.5249662346
39	0.5220374046
40	0.519353798
41	0.5168839955
42	0.5146220964
43	0.5125043471
44	0.5102398368
45	0.5083132251
46	0.5062795706
47	0.5043511064
48	0.5023788278
49	0.5007109875
50	0.4990278673
51	0.4975898781
52	0.4961161977
53	0.4946835238
54	0.4932974006
55	0.4920463808
56	0.490830895
57	0.4896943062
58	0.4886657691
59	0.4875319399
60	0.4864469879
61	0.4853488578
62	0.4844134651
63	0.4833634084
64	0.4824333223
65	0.4815357088
66	0.4808231945
67	0.4800084207
68	0.4791284297
69	0.4782645171
70	0.4775444436
71	0.4768576612
72	0.47612946
73	0.4755037825
74	0.4748892138
75	0.4743093403
76	0.473763835
77	0.4731380232
78	0.4725443881
79	0.4720549654
80	0.4715069137
81	0.4710577196
82	0.470497438
83	0.4700861096
84	0.4695157411
85	0.4689891705
86	0.4685140027
87	0.4681419989
88	0.4676486432
89	0.467091999
90	0.4666941196
91	0.4663136929
92	0.4659450915
93	0.465492643
94	0.4651492876
95	0.4648445036
96	0.4645490949
97	0.4641953985
98	0.4638123523
99	0.4633892458
100	0.4631426685
101	0.4628180648
102	0.4624271999
103	0.4620801375
104	0.4616315388
105	0.4613847184
106	0.4611477496
107	0.4608518604
108	0.4605500707
109	0.4602383737
110	0.4598948512
111	0.459530544
112	0.4592700915
113	0.4590457245
114	0.4588081677
115	0.4586251706
116	0.4583967658
117	0.4581732611
118	0.4578760627
119	0.4576261619
120	0.4574719342
121	0.4573415801
122	0.4572125582
123	0.4569643529
124	0.4567657812
125	0.4566014718
126	0.4563942157
127	0.4561969448
128	0.4559426515
129	0.4557155227
130	0.4555370809
131	0.4553755264
132	0.4551568284
133	0.4549229272
134	0.4547763143
135	0.4545611044
136	0.4544372255
137	0.4542915423
138	0.4541177694
139	0.4538919967
140	0.4536152048
141	0.4534443366
142	0.4533049835
143	0.4529743174
144	0.452833699
145	0.4526601733
146	0.452533502
147	0.4522695577
148	0.4520996226
149	0.451955285
150	0.4517150173
151	0.4515930805
152	0.4513714024
153	0.4512474162
154	0.4511477112
155	0.4510322189
156	0.4508716273
157	0.4506900062
158	0.4506108891
159	0.4503543113
160	0.4502571771
161	0.4500805535
162	0.4499595047
163	0.4497503895
164	0.4496637457
165	0.4495527805
166	0.4494526477
167	0.4493736038
168	0.449235262
169	0.4490860496
170	0.4488813986
171	0.4487040556
172	0.4485787251
173	0.4484577608
174	0.4483194025
175	0.4481682796
176	0.4480933219
177	0.4479788041
178	0.4478899777
179	0.4477240273
180	0.4476454185
181	0.447475863
182	0.4473520935
183	0.4471878684
184	0.4470882158
185	0.4470159096
186	0.4468458451
187	0.446772415
188	0.4466514607
189	0.4465762903
190	0.4464083845
191	0.4462974543
192	0.4462078523
193	0.446126656
194	0.4459766082
195	0.4458859547
196	0.4458428081
197	0.4458242384
198	0.4456767064
199	0.44556927
200	0.4454193927
201	0.4453510741
202	0.4452814092
203	0.4451565542
204	0.4450609489
205	0.4449852965
206	0.4448932694
207	0.4448268987
208	0.4447472228
209	0.4446600039
210	0.4445467849
211	0.4444822867
212	0.4443541928
213	0.4442628837
214	0.444200885
215	0.4441140157
216	0.4440510382
217	0.4439212898
218	0.4438389794
219	0.4437744051
220	0.4437257759
221	0.4436122984
222	0.4434875291
223	0.4433743777
224	0.4432948799
225	0.4432171036
226	0.4431067662
227	0.4430322153
228	0.4429652028
229	0.4428799734
230	0.4427554007
231	0.4426386145
232	0.4425825949
233	0.4425691063
234	0.4425281303
235	0.4424758128
236	0.4424219419
237	0.4423803604
238	0.4423128198
239	0.4422385277
240	0.4421430171
241	0.4420435136
242	0.4419620656
243	0.4418887501
244	0.441846511
245	0.4417550025
246	0.4416715784
247	0.441614193
248	0.4415357179
249	0.4414734803
250	0.4413899919
251	0.4412736706
252	0.4411816618
253	0.4411112163
254	0.4410308652
255	0.4409438464
256	0.4409180883
257	0.4408697633
258	0.4408061378
259	0.4407466722
260	0.4406937383
261	0.4405938403
262	0.4405533865
263	0.4405168652
264	0.4404499013
265	0.4403849016
266	0.4403363754
267	0.440234701
268	0.440191466
269	0.4401272183
270	0.4400710549
271	0.4399535032
272	0.4399165394
273	0.4398688199
274	0.4398085671
275	0.4397512149
276	0.4395942222
277	0.4395370281
278	0.4394394007
279	0.4393820926
280	0.4392866131
281	0.4392415754
282	0.439185998
283	0.43914459
284	0.4390650519
285	0.439013768
286	0.4389823845
287	0.4388890626
288	0.4387922564
289	0.4387314907
290	0.4386692107
291	0.4385961074
292	0.4385285169
293	0.4384578103
294	0.4384126547
295	0.4383613015
296	0.4382888268
297	0.4381923789
298	0.4381250336
299	0.4380219236
300	0.4379584459
301	0.4378896288
302	0.4377884221
303	0.4377205259
304	0.4376960214
305	0.4376526107
306	0.4376090021
307	0.437578272
308	0.4375275203
309	0.4374638067
310	0.437357271
311	0.4373412333
312	0.4372636911
313	0.4372096036
314	0.4370692091
315	0.436994655
316	0.4369116559
317	0.4368351402
318	0.4367414247
319	0.4366468108
320	0.4366044339
321	0.4365698008
322	0.4365503659
323	0.4364869227
324	0.4364492799
325	0.4363976945
326	0.4363416356
327	0.4362689694
328	0.4362533927
329	0.4361964762
330	0.4361379288
331	0.4360749437
332	0.4360048149
333	0.4359144962
334	0.4358348725
335	0.4357612622
336	0.4357311964
337	0.4356591328
338	0.4356207055
339	0.4355616285
340	0.435502516
341	0.4354587448
342	0.4354154086
343	0.4353612978
344	0.4353063531
345	0.4352302309
346	0.4351994442
347	0.4351580188
348	0.4350739056
349	0.4350505066
350	0.4350039388
351	0.4349585198
352	0.4348975185
353	0.4348614093
354	0.434829124
355	0.4347719045
356	0.4347112169
357	0.434699602
358	0.4346771906
359	0.4346297969
360	0.4345693866
361	0.4345489167
362	0.4344312838
363	0.4343485567
364	0.4343322084
365	0.4342680654
366	0.4342207907
367	0.4341168911
368	0.434087523
369	0.4340686876
370	0.434012437
371	0.4339754458
372	0.4338677931
373	0.4338335296
374	0.4337974508
375	0.4337394923
376	0.4336839192
377	0.4336182211
378	0.4335884803
379	0.4335090454
380	0.4334751765
381	0.4334331571
382	0.4333705518
383	0.4333330166
384	0.4332832311
385	0.4332662515
386	0.4332150354
387	0.4331668381
388	0.4331479127
389	0.4331168637
390	0.4330471394
391	0.4329717312
392	0.4329059892
393	0.4328215561
394	0.4327606688
395	0.4326866637
396	0.4326348574
397	0.4326086293
398	0.4325151532
399	0.4324491493
400	0.4324288391
401	0.43239352
402	0.4323597417
403	0.4322905193
404	0.4322713526
405	0.432246458
406	0.4322174207
407	0.4322155966
408	0.4321952637
409	0.4321838938
410	0.4321529839
411	0.4321191252
412	0.4321013952
413	0.4320264609
414	0.4319559338
415	0.4319265133
416	0.4318875939
417	0.4318140503
418	0.4317625393
419	0.4317001608
420	0.4316647188
421	0.4316423601
422	0.4315909197
423	0.4315750895
424	0.4315439128
425	0.4314753923
426	0.4314235291
427	0.4313934812
428	0.431356165
429	0.4312784555
430	0.4312576539
431	0.431228759
432	0.431196241
433	0.4311343036
434	0.4310846831
435	0.4310528455
436	0.4310242713
437	0.4310006015
438	0.4309602569
439	0.4309206076
440	0.4308541509
441	0.4307865458
442	0.4307656873
443	0.4307410021
444	0.4306791769
445	0.4306497158
446	0.4306204146
447	0.4305773587
448	0.4305368595
449	0.4305322803
450	0.4304848683
451	0.4304501312
452	0.4303898345
453	0.4303817045
454	0.4303444604
455	0.4303419626
456	0.4302813916
457	0.4302511438
458	0.430223804
459	0.4301859801
460	0.4301382443
461	0.4300652833
462	0.4300276044
463	0.4299950046
464	0.4299322332
465	0.4298957275
466	0.4298623603
467	0.4298177426
468	0.4298054296
469	0.4297775476
470	0.4297298383
471	0.4296992523
472	0.4296465212
473	0.429611924
474	0.4295552931
