iter	Passed	Remaining
0	11	9900
1	21	9315
2	33	9655
3	45	9781
4	55	9453
5	66	9541
6	83	10165
7	98	10577
8	112	10669
9	125	10712
10	139	10778
11	152	10820
12	166	10865
13	176	10704
14	189	10718
15	205	10883
16	217	10805
17	227	10695
18	239	10660
19	251	10585
20	263	10576
21	275	10529
22	285	10438
23	297	10405
24	311	10439
25	327	10542
26	343	10642
27	357	10652
28	368	10604
29	382	10613
30	395	10606
31	405	10521
32	415	10455
33	432	10541
34	444	10521
35	456	10488
36	468	10461
37	480	10434
38	490	10368
39	502	10337
40	515	10325
41	542	10596
42	566	10797
43	592	11023
44	606	11019
45	624	11098
46	639	11101
47	652	11082
48	665	11063
49	679	11046
50	692	11019
51	706	11012
52	717	10967
53	728	10916
54	743	10921
55	755	10892
56	770	10896
57	787	10934
58	803	10949
59	814	10905
60	826	10866
61	838	10839
62	858	10905
63	869	10854
64	880	10815
65	894	10803
66	906	10767
67	917	10728
68	928	10682
69	942	10677
70	952	10630
71	964	10591
72	973	10539
73	988	10535
74	999	10501
75	1012	10480
76	1024	10462
77	1035	10425
78	1048	10404
79	1062	10399
80	1075	10384
81	1092	10409
82	1108	10419
83	1128	10467
84	1152	10547
85	1162	10505
86	1184	10567
87	1203	10597
88	1218	10598
89	1229	10562
90	1246	10576
91	1259	10554
92	1271	10526
93	1281	10487
94	1292	10446
95	1305	10428
96	1318	10412
97	1329	10376
98	1338	10328
99	1346	10273
100	1355	10228
101	1364	10182
102	1373	10133
103	1383	10094
104	1392	10053
105	1401	10010
106	1412	9978
107	1422	9941
108	1436	9937
109	1447	9911
110	1459	9886
111	1473	9877
112	1485	9860
113	1496	9834
114	1506	9797
115	1513	9747
116	1522	9709
117	1532	9677
118	1542	9643
119	1552	9613
120	1560	9570
121	1567	9523
122	1576	9486
123	1585	9448
124	1593	9407
125	1601	9366
126	1612	9344
127	1621	9313
128	1633	9292
129	1643	9265
130	1654	9243
131	1664	9215
132	1674	9192
133	1684	9163
134	1692	9129
135	1702	9102
136	1711	9069
137	1720	9039
138	1732	9024
139	1743	9004
140	1754	8983
141	1762	8949
142	1772	8923
143	1782	8897
144	1792	8875
145	1805	8865
146	1813	8833
147	1823	8809
148	1835	8797
149	1846	8778
150	1859	8768
151	1869	8746
152	1878	8717
153	1887	8690
154	1895	8655
155	1909	8656
156	1919	8630
157	1928	8606
158	1938	8581
159	1947	8558
